Año;Trimestre;País;Tipo de mercado;Servicio;Concepto;Operador;Tipo de Ingreso;Tipo de Cliente;Segmento;Tipo de Tráfico;Tipo de Contrato;Tipo de Línea;Tipo de Mensaje;Tipo de Tráfico de Mensaje;Tecnología de Acceso;Velocidad BAF;Tipo de Oferta;Tipo de Tarifa;Tipo de CE Minorista;Tipo de Circuito;Tipo de Emisión;Tipo de Operador;Tipo de Medio;Tipo de Publicidad;Tipo de Contratación;Tipo Servicio Audiovisual Mayorista;Tipo de BA May;Tipo de Interconexión;Tipo de Tarificación en Interconexión;Tipo de Ámbito;Tipo de Acceso de Infraestructuras;Unidades;Ingresos (Millones €);Ingresos por Operador (Millones €);Clientes (Núm);Clientes por Operador (Núm);Lineas o Accesos (Núm);Tasa de Penetración (%);Lineas o Accesos por Operador (Núm);Portabilidades (Núm);Tráfico (Millones min);Tráfico por Operador (Millones min);Mensajes (Millones);Mensajes por Operador (Millones);Tráfico de datos (TB);Circuitos (Núm);Publicidad (Min);Contrataciones (Núm)
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Ingresos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Concentración ATM/IP;N/A;N/A;N/A;N/A;Millones de euros;100,18;100,18;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Ingresos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Otros servicios ADSL mayoristas;N/A;N/A;N/A;N/A;Millones de euros;7,9;7,9;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Ingresos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Reventa;N/A;N/A;N/A;N/A;Millones de euros;20,5;20,5;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Líneas;Movistar;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bucle compartido;N/A;N/A;N/A;N/A;Unidades;;;;;;;80985;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Líneas;Movistar;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bucle desagregado;N/A;N/A;N/A;N/A;Unidades;;;;;;;98863;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Líneas;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bucle compartido;N/A;N/A;N/A;N/A;Unidades;;;;;80985;0,2;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Banda ancha fija mayorista;Líneas;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bucle desagregado;N/A;N/A;N/A;N/A;Unidades;;;;;98863;0,2;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Circuitos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Digitales baja capacidad;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unidades;;;;;;;;;;;;;;57932;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Circuitos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Otros;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unidades;;;;;;;;;;;;;;393;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Ingresos;N/A;Alquiler de circuitos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Digitales baja capacidad;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Millones de euros;46,81;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Ingresos;N/A;Alquiler de circuitos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Otros;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Millones de euros;5,33;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Ingresos;N/A;Capacidad portadora;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Millones de euros;88,57;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Ingresos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Millones de euros;;142,62;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Circuitos alquilados mayoristas;Ingresos;N/A;Otros;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Millones de euros;1,9;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;Movistar;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Millones de euros;;406,49;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Datos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Itinerancia operadores extranjeros;N/A;N/A;N/A;Millones de euros;3,17;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Mensajes cortos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Itinerancia operadores extranjeros;N/A;N/A;N/A;Millones de euros;13,29;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Mensajes cortos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Terminación;N/A;Internacional;N/A;Millones de euros;3,06;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Mensajes cortos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Terminación;N/A;Nacional;N/A;Millones de euros;35,17;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Acceso;N/A;Acceso 900;N/A;Millones de euros;12,7;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Otros servicios de interconexión;N/A;N/A;N/A;Millones de euros;1,19;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Voz;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Itinerancia operadores extranjeros;N/A;N/A;N/A;Millones de euros;95,07;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Voz;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Terminación;N/A;Internacional;N/A;Millones de euros;44,83;;;;;;;;;;;;;;;
2005;2005T1;España;Servicio mayorista;Interconexión móvil;Ingresos;N/A;Voz;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Terminación;N/A;Nacional;N/A;Millones de euros;712,83;;;;;;;;;;;;;;;
